Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,1000_annotation_measurements,1001_annotation_measurements,4524_annotation_measurements,4525_annotation_measurements,4526_annotation_measurements,4527_annotation_measurements,4528_annotation_measurements,4530_annotation_measurements,4531_annotation_measurements,4532_annotation_measurements,4533_annotation_measurements,4634_annotation_measurements,4635_annotation_measurements,4636_annotation_measurements,4637_annotation_measurements,4657_annotation_measurements,4658_annotation_measurements,4659_annotation_measurements,4660_annotation_measurements,4689_annotation_measurements,4690_annotation_measurements,4691_annotation_measurements,4692_annotation_measurements,4702_annotation_measurements,4703_annotation_measurements,4704_annotation_measurements,4705_annotation_measurements,4707_annotation_measurements,4708_annotation_measurements,4709_annotation_measurements,4710_annotation_measurements,5366_annotation_measurements,5368_annotation_measurements,5369_annotation_measurements,5370_annotation_measurements,5373_annotation_measurements,5374_annotation_measurements,5375_annotation_measurements,5875_annotation_measurements,5876_annotation_measurements
SCop,"Superior colliculus, optic layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related","Superior colliculus, sensory related","Superior colliculus, optic layer",,,,21.9,28.14,44.53,48.44,10.81,487.7,43.19,75.01,146.38,82.65,31.78,426.21,49.21,140.65,956.07,532.25,84.05,85.65,439.78,498.06,39.44,65.56,53.18,227.18,151.38,204.6,44.54,384.88,45.82,88.49,39.24,324.64,46.57,274.88,46.96,62.1,6.85,132.0,58.63,209.82
SCsg,"Superior colliculus, superficial gray layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related","Superior colliculus, sensory related","Superior colliculus, superficial gray layer",,,,9.26,13.96,25.81,40.29,8.31,391.97,38.69,34.77,200.61,42.75,22.2,544.78,51.38,94.87,1086.91,543.69,184.46,121.52,372.04,384.67,73.1,33.73,37.05,192.87,251.88,119.61,30.76,343.63,34.88,86.5,34.97,445.05,35.04,223.26,43.41,100.38,3.44,143.74,44.95,159.78
SCzo,"Superior colliculus, zonal layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related","Superior colliculus, sensory related","Superior colliculus, zonal layer",,,,4.78,14.27,41.65,44.49,13.57,294.97,22.98,16.77,133.66,56.83,35.89,446.37,67.6,93.08,792.63,410.85,118.81,95.82,231.0,316.13,54.53,36.18,40.38,158.77,155.62,98.34,28.03,268.02,18.43,64.58,28.81,439.21,35.58,157.86,37.5,88.24,7.0,116.12,41.95,100.3
ICc,"Inferior colliculus, central nucleus",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Inferior colliculus,"Inferior colliculus, central nucleus",,,,113.17,90.59,424.97,498.85,84.03,235.08,385.5,250.71,719.28,497.7,366.04,729.01,323.22,338.7,933.77,547.47,444.03,658.34,474.32,479.3,295.64,253.7,373.56,556.39,173.09,454.51,143.66,489.27,308.26,340.33,357.13,336.87,288.56,233.5,402.3,62.46,2.85,50.81,80.15,170.57
ICd,"Inferior colliculus, dorsal nucleus",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Inferior colliculus,"Inferior colliculus, dorsal nucleus",,,,72.79,110.4,511.43,498.53,127.97,355.65,371.33,231.61,594.93,513.74,318.99,670.19,317.44,283.93,702.76,533.1,337.02,677.81,449.21,513.84,179.79,247.43,437.71,585.18,176.89,250.35,72.99,451.26,259.65,415.03,261.09,331.64,203.26,275.9,246.89,128.59,6.62,55.99,70.89,185.48
ICe,"Inferior colliculus, external nucleus",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Inferior colliculus,"Inferior colliculus, external nucleus",,,,100.97,59.47,241.74,453.61,44.19,236.33,350.28,308.8,698.48,367.84,305.29,628.29,237.07,273.24,624.22,377.31,373.93,409.93,338.02,410.17,147.33,321.85,362.91,470.01,200.51,515.71,198.52,405.72,212.56,387.4,350.21,327.58,257.65,207.33,223.82,46.57,3.29,47.7,111.82,223.99
NB,Nucleus of the brachium of the inferior colliculus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Nucleus of the brachium of the inferior colliculus,,,,,74.32,21.86,39.46,211.57,13.61,64.35,184.58,39.02,,77.47,64.26,201.82,81.88,72.55,413.26,162.08,101.02,194.04,161.75,81.73,49.73,94.73,55.81,278.56,131.47,143.98,161.22,80.86,102.73,143.11,162.78,111.45,178.7,104.42,104.23,46.09,0.0,518.74,43.1,39.24
SAG,Nucleus sagulum,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Nucleus sagulum,,,,,6.32,3.1,26.4,3.25,7.52,41.41,27.03,4.74,,34.75,2.32,126.45,5.96,24.77,189.09,18.96,8.79,12.93,46.88,277.09,16.18,8.61,6.51,130.28,91.9,59.22,16.85,40.03,2.52,14.01,55.57,4.85,13.86,0.0,16.56,5.55,2.26,16.28,9.54,9.73
PBG,Parabigeminal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Parabigeminal nucleus,,,,,0.0,0.0,0.0,0.0,7.72,105.83,4.97,16.11,,0.0,5.15,108.87,4.72,37.08,85.65,0.0,3.84,28.67,27.45,141.58,10.88,0.0,18.58,217.27,129.78,104.59,0.0,29.36,24.32,0.0,41.34,0.0,0.0,0.0,28.17,0.0,0.0,65.82,27.15,14.39
MEV,Midbrain trigeminal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Midbrain trigeminal nucleus,,,,,61.35,22.82,253.06,200.9,159.0,260.82,237.57,158.24,345.15,325.48,198.21,428.87,41.2,110.0,353.99,73.05,98.44,189.78,233.31,290.13,42.71,293.64,72.87,665.01,19.03,261.78,285.31,290.5,0.0,203.69,114.32,85.02,232.99,0.0,91.82,51.3,0.0,137.39,22.96,264.93
SCO,Subcommissural organ,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Subcommissural organ,,,,,79.57,52.98,42.26,98.41,47.02,85.52,64.13,29.0,202.03,15.84,18.18,0.0,97.39,134.78,135.36,122.83,130.25,246.75,50.43,72.09,15.17,0.0,20.92,612.59,99.03,104.97,59.65,166.65,189.01,78.54,66.98,111.66,53.84,288.67,74.0,17.84,210.53,233.27,23.26,72.49
SNr,"Substantia nigra, reticular part",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Substantia nigra, reticular part",,,,,7.08,1.19,17.2,23.38,3.94,5.49,7.27,15.99,38.75,48.21,8.72,48.6,3.47,36.55,40.3,29.18,9.77,24.99,15.87,17.23,4.11,6.12,13.0,31.31,47.88,18.45,11.58,38.78,5.56,27.41,10.94,10.56,7.49,7.54,2.96,3.81,1.97,241.79,5.34,5.1
VTA,Ventral tegmental area,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Ventral tegmental area,,,,,35.79,20.59,57.4,86.37,19.88,33.56,35.19,37.44,222.93,89.75,27.9,87.7,9.33,122.39,355.31,67.05,54.36,34.32,90.02,66.8,19.12,35.5,53.56,285.58,13.85,106.73,44.84,175.05,14.5,67.63,36.57,64.77,14.94,14.47,21.19,18.63,1.76,11.28,8.7,12.57
PN,Paranigral nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Paranigral nucleus,,,,,15.08,9.61,34.99,116.24,0.0,54.5,121.24,139.65,,,65.82,122.52,0.0,40.42,186.59,85.29,9.36,46.76,17.99,10.63,0.0,10.12,34.02,21.53,0.0,71.67,52.54,46.67,7.59,47.12,0.0,23.38,91.18,0.0,10.63,0.0,8.15,0.0,0.0,113.85
RR,"Midbrain reticular nucleus, retrorubral area",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Midbrain reticular nucleus, retrorubral area",,,,,51.03,62.39,97.47,152.74,5.72,103.14,144.55,76.51,,236.31,82.79,84.52,49.66,28.68,330.96,110.07,123.4,145.43,171.73,79.82,55.64,96.72,116.3,211.28,35.57,136.94,38.24,108.37,29.0,143.4,38.84,120.08,89.24,32.34,120.22,33.59,29.45,0.0,33.73,69.17
MRN,Midbrain reticular nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Midbrain reticular nucleus,,,,,30.68,22.78,106.21,160.03,10.15,172.44,84.45,88.49,222.35,185.66,66.69,275.23,44.34,96.16,398.37,132.26,116.93,84.9,180.73,197.26,31.93,81.44,125.69,262.62,85.92,146.61,87.92,251.63,34.47,146.83,76.38,138.12,61.13,42.46,66.25,40.84,10.89,9.21,31.5,54.11
SCdg,"Superior colliculus, motor related, deep gray layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Superior colliculus, motor related","Superior colliculus, motor related, deep gray layer",,,,50.41,54.41,133.17,165.67,29.91,281.59,137.16,153.55,435.05,202.9,104.26,381.66,96.5,150.25,511.35,194.54,156.03,206.6,235.52,410.3,71.34,73.0,124.53,414.78,122.29,151.28,121.64,353.42,86.13,145.98,114.45,216.33,82.08,126.85,141.03,94.23,26.87,15.05,34.28,85.93
SCdw,"Superior colliculus, motor related, deep white layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Superior colliculus, motor related","Superior colliculus, motor related, deep white layer",,,,50.1,43.76,137.16,160.31,36.21,281.06,136.77,161.4,394.9,171.72,111.77,420.24,59.87,152.93,608.38,233.33,245.16,205.52,216.1,414.32,74.01,65.17,106.91,388.91,152.2,176.43,141.75,296.95,70.78,170.54,157.8,208.33,70.46,85.76,142.05,124.19,26.71,36.93,44.85,87.19
SCiw,"Superior colliculus, motor related, intermediate white layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Superior colliculus, motor related","Superior colliculus, motor related, intermediate white layer",,,,31.96,46.21,112.78,225.03,26.45,387.01,122.43,155.84,201.36,291.87,94.93,437.59,75.46,175.05,639.65,183.86,133.67,151.41,241.91,330.78,57.91,60.98,133.04,304.14,156.03,139.97,88.51,444.7,45.94,152.09,92.84,247.33,57.82,83.54,80.54,89.47,18.37,53.48,35.95,81.84
SCig,"Superior colliculus, motor related, intermediate gray layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Superior colliculus, motor related","Superior colliculus, motor related, intermediate gray layer",,,,27.6,45.7,113.57,183.21,24.83,529.04,119.51,161.03,92.49,232.73,65.64,486.29,82.13,152.12,1075.44,243.99,73.98,157.35,336.97,394.58,53.61,67.72,88.21,289.27,133.61,208.81,71.78,384.47,50.81,128.15,66.32,268.76,60.83,131.84,62.86,90.28,12.57,187.59,58.06,110.27
PRC,Precommissural nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Periaqueductal gray,Precommissural nucleus,,,,173.45,91.35,228.13,346.66,182.36,316.74,372.73,267.3,178.66,387.86,239.62,358.97,254.29,345.82,755.83,557.79,402.65,445.51,333.81,336.71,182.41,197.56,74.14,984.6,410.01,365.06,128.86,135.81,201.94,175.5,241.23,238.59,310.99,228.95,200.62,273.74,145.09,252.93,144.31,249.6
INC,Interstitial nucleus of Cajal,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Periaqueductal gray,Interstitial nucleus of Cajal,,,,35.36,16.45,75.61,101.54,0.0,463.65,42.04,180.08,429.4,828.22,90.72,660.48,32.76,333.62,580.67,59.49,282.61,150.06,463.52,134.85,10.93,140.48,359.13,476.63,183.34,245.27,167.0,590.63,27.16,412.82,66.11,377.65,24.5,40.92,55.73,112.21,3.94,0.0,30.34,49.39
ND,Nucleus of Darkschewitsch,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Periaqueductal gray,Nucleus of Darkschewitsch,,,,49.19,73.24,190.3,293.33,7.51,633.47,238.83,302.54,334.13,1004.34,269.73,845.36,260.49,392.88,1189.32,143.81,446.2,337.32,596.05,313.94,18.07,183.23,330.34,766.17,239.37,282.47,384.75,370.53,31.82,428.28,144.15,527.22,187.26,65.18,214.8,162.79,8.78,6.52,84.37,55.04
Su3,Supraoculomotor periaqueductal gray,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Periaqueductal gray,Supraoculomotor periaqueductal gray,,,,162.01,59.64,499.66,390.37,32.87,481.46,495.95,301.71,,799.22,422.49,432.59,168.11,287.46,1068.89,452.16,476.57,839.52,668.76,335.81,195.31,283.1,362.78,1155.6,181.78,162.0,397.13,585.62,175.19,344.81,123.95,575.81,288.07,172.96,598.31,486.37,54.52,39.63,36.1,267.99
APN,Anterior pretectal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Anterior pretectal nucleus,,,,10.8,20.23,57.34,114.72,1.88,100.5,33.07,49.42,195.13,176.11,24.08,201.11,57.53,98.83,488.87,82.45,38.2,52.86,82.2,149.11,16.41,36.95,72.2,246.94,35.5,64.81,45.61,155.03,34.72,70.46,25.19,103.78,19.4,38.81,20.65,49.53,1.41,23.35,12.53,35.48
MPT,Medial pretectal area,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Medial pretectal area,,,,14.72,0.0,51.13,64.31,0.0,469.78,97.32,93.96,474.83,157.48,107.3,761.18,69.98,262.57,319.19,484.9,22.14,120.57,43.25,255.69,116.08,24.77,356.68,0.0,46.97,170.63,10.24,51.79,38.15,3.97,33.34,83.82,83.2,247.76,4.21,0.0,0.0,103.09,0.0,20.35
NOT,Nucleus of the optic tract,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Nucleus of the optic tract,,,,6.37,31.98,46.62,46.79,3.16,228.2,95.74,51.71,295.16,100.1,55.68,339.17,64.97,144.85,729.5,335.37,24.21,114.64,195.11,322.29,84.07,28.96,119.23,39.2,76.49,34.32,12.14,29.01,18.67,11.88,15.1,38.27,26.44,78.57,12.87,20.07,6.88,98.22,18.71,33.33
NPC,Nucleus of the posterior commissure,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Nucleus of the posterior commissure,,,,122.48,94.48,295.12,398.75,96.88,418.04,397.64,331.33,365.45,470.93,294.51,570.31,197.14,217.07,1192.53,370.19,290.02,496.88,378.43,460.03,164.02,198.88,246.41,761.05,342.63,417.61,241.05,363.02,136.53,257.97,295.42,432.62,252.37,235.82,270.84,319.19,111.83,114.6,187.19,240.61
OP,Olivary pretectal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Olivary pretectal nucleus,,,,44.65,36.93,65.51,88.04,20.8,437.39,108.49,59.62,298.02,110.51,84.5,373.04,98.45,737.79,29.88,349.16,135.4,134.43,110.99,298.64,180.27,55.11,275.27,124.42,207.8,0.0,9.71,6.85,193.48,2.88,83.13,221.05,73.06,105.99,66.22,127.79,0.0,45.19,26.78,22.12
PPT,Posterior pretectal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Posterior pretectal nucleus,,,,57.74,51.5,107.84,171.64,3.26,439.36,114.64,79.81,251.25,134.54,73.34,409.85,88.99,222.06,645.6,317.87,76.07,258.41,307.43,340.12,52.42,72.74,98.9,61.75,154.96,17.23,26.93,26.42,96.49,33.81,80.85,307.67,44.63,126.74,118.59,127.63,2.94,63.45,53.66,155.65
RPF,Retroparafascicular nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Retroparafascicular nucleus,,,,22.42,0.0,159.17,277.19,0.0,350.96,129.57,195.77,505.19,410.83,59.69,456.21,102.27,75.96,858.02,99.42,214.27,81.14,429.81,230.05,73.09,44.99,142.93,913.98,35.74,340.65,172.99,388.08,117.96,352.55,70.48,403.54,47.07,28.06,134.5,221.46,10.29,100.4,74.59,68.34
CUN,Cuneiform nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Cuneiform nucleus,,,,,29.31,32.13,29.37,75.39,11.07,65.05,86.86,49.19,146.13,43.95,45.47,96.02,44.5,60.67,141.02,70.35,62.54,109.38,106.16,117.03,29.3,36.68,44.91,292.11,86.23,92.67,60.13,97.58,33.69,67.16,68.03,63.23,41.61,22.48,57.72,12.59,2.14,4.19,42.9,64.33
RN,Red nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Red nucleus,,,,,23.25,11.56,70.7,75.37,2.85,39.93,30.42,66.29,247.97,222.43,55.41,109.88,18.58,90.58,104.02,47.23,70.09,53.78,72.81,47.15,18.86,27.15,51.7,144.36,16.55,83.17,68.43,194.22,16.06,74.65,21.92,62.97,27.5,20.16,58.74,17.17,6.0,2.55,6.25,31.35
III,Oculomotor nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Oculomotor nucleus,,,,,51.24,24.74,137.29,0.0,3.35,759.16,0.0,0.0,,465.29,40.06,530.64,19.27,48.62,525.64,115.81,199.59,88.78,409.61,226.07,13.63,25.04,251.59,0.0,9.59,86.19,32.7,178.45,46.43,170.97,61.09,108.81,18.4,57.01,10.51,123.44,49.75,0.0,19.82,46.4
MA3,Medial accesory oculomotor nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Medial accesory oculomotor nucleus,,,,,26.85,71.55,45.92,118.92,0.0,355.07,14.16,188.49,139.33,294.37,47.36,538.34,34.27,130.84,481.16,158.98,153.13,350.63,16.94,55.1,10.87,74.84,120.87,147.08,141.09,42.04,108.55,239.99,42.22,118.82,99.31,169.01,90.7,89.66,84.23,24.43,0.0,0.0,27.37,53.82
EW,Edinger-Westphal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Edinger-Westphal nucleus,,,,,20.03,95.58,405.34,573.28,15.55,503.69,378.91,91.21,77.94,457.28,262.9,571.1,346.44,389.21,1306.45,714.32,233.68,296.23,254.06,278.69,137.27,38.87,187.36,703.4,133.0,475.73,61.85,314.14,19.58,196.29,181.93,575.58,322.2,127.49,325.61,8.34,0.0,0.0,71.11,392.11
IV,Trochlear nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Trochlear nucleus,,,,,37.02,0.0,113.25,272.72,0.0,992.32,101.02,32.47,,,18.59,0.0,0.0,0.0,1250.8,,147.49,103.95,0.0,306.52,0.0,89.22,467.36,0.0,82.38,96.62,197.58,170.89,0.0,105.55,88.96,424.92,117.84,,123.6,105.6,0.0,0.0,15.55,24.49
Pa4,Paratrochlear nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Paratrochlear nucleus,,,,,0.0,0.0,57.91,38.25,0.0,172.33,76.2,14.04,,598.1,20.81,0.0,0.0,14.22,454.16,0.0,31.55,0.0,117.25,186.68,34.91,55.79,139.21,48.97,0.0,188.81,15.77,92.87,13.93,71.43,101.5,239.78,0.0,0.0,50.95,13.0,14.16,21.41,10.06,30.75
VTN,Ventral tegmental nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Ventral tegmental nucleus,,,,,28.97,9.16,45.76,76.44,0.0,70.23,0.0,28.16,,33.43,201.68,90.86,10.66,32.29,187.82,78.55,29.37,291.32,128.92,229.75,25.64,21.1,15.56,129.44,125.03,410.48,12.58,276.08,45.07,75.07,94.45,160.89,117.31,109.64,26.69,0.0,0.0,0.0,68.98,39.63
AT,Anterior tegmental nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Anterior tegmental nucleus,,,,,21.94,12.33,72.24,25.08,0.0,10.82,46.85,164.06,,78.94,43.37,67.34,46.31,70.25,55.79,164.59,17.63,116.78,167.85,118.17,28.88,28.23,35.01,122.32,149.46,182.22,31.15,233.65,44.17,52.18,36.72,169.81,77.96,56.37,21.25,0.0,0.0,8.04,27.75,154.7
LT,Lateral terminal nucleus of the accessory optic tract,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Lateral terminal nucleus of the accessory optic tract,,,,,118.68,34.55,219.16,354.28,62.62,423.08,320.63,17.5,272.08,179.65,97.76,279.49,0.0,60.85,234.5,144.48,453.88,262.42,224.37,60.92,130.99,80.2,253.85,472.7,265.67,342.44,109.41,433.07,13.47,144.72,50.38,508.18,51.31,0.0,104.23,72.32,0.0,421.4,102.53,52.96
DT,Dorsal terminal nucleus of the accessory optic tract,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Dorsal terminal nucleus of the accessory optic tract,,,,,18.31,59.18,116.14,232.17,0.0,84.81,47.24,133.79,0.0,0.0,37.49,350.27,110.09,136.12,533.6,171.15,12.61,259.83,398.15,0.0,88.57,34.55,204.29,34.55,123.43,81.38,55.6,26.53,20.56,79.71,0.0,306.42,96.44,25.16,51.18,17.81,0.0,85.67,112.32,20.0
MT,Medial terminal nucleus of the accessory optic tract,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Medial terminal nucleus of the accessory optic tract,,,,,27.97,0.0,88.94,51.63,18.99,64.41,45.08,0.0,38.5,41.38,20.05,71.56,0.0,137.91,62.24,71.14,73.46,59.23,89.13,27.29,4.06,14.75,49.57,95.47,45.21,41.36,35.2,89.1,14.49,34.54,10.98,26.74,0.0,0.0,15.15,13.6,3.08,0.0,16.28,18.61
SNc,"Substantia nigra, compact part",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related","Substantia nigra, compact part",,,,,12.87,1.17,24.62,43.03,1.03,7.74,22.74,17.04,212.48,51.45,10.95,30.26,2.05,26.03,106.33,15.75,9.55,27.25,17.34,40.11,5.25,8.64,22.99,69.85,40.01,43.01,5.65,90.26,15.14,45.97,11.96,20.43,3.98,0.0,3.62,10.69,0.83,131.86,9.77,10.53
PPN,Pedunculopontine nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Pedunculopontine nucleus,,,,,22.07,12.3,59.17,95.58,12.63,73.63,38.88,81.26,117.76,124.74,31.06,135.56,27.17,44.72,150.47,69.03,55.36,66.23,105.2,156.99,25.29,31.1,37.23,138.87,63.1,132.24,33.04,187.1,47.52,49.25,49.63,109.93,55.64,24.95,31.88,17.94,7.29,11.3,27.16,74.56
IF,Interfascicular nucleus raphe,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interfascicular nucleus raphe,,,,51.96,21.74,152.14,260.72,8.32,336.24,149.26,158.91,316.03,484.9,174.95,555.94,31.52,85.31,248.73,137.33,152.89,40.78,158.91,161.98,31.24,48.1,49.05,243.88,7.93,190.23,58.67,294.69,58.28,114.06,128.81,70.43,44.77,38.31,67.94,127.68,20.51,46.35,89.64,90.52
IPR,"Interpeduncular nucleus, rostral",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, rostral",,,122.16,11.87,112.59,88.66,34.3,338.25,27.44,24.54,,,34.49,416.18,113.94,73.11,250.44,101.09,54.33,122.41,214.87,251.89,2.47,41.94,187.52,105.21,6.69,106.68,98.74,239.12,2.64,42.72,37.24,38.59,60.11,20.62,7.15,67.67,11.83,39.78,81.93,13.92
IPC,"Interpeduncular nucleus, caudal",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, caudal",,,42.55,7.47,140.06,77.14,2.16,39.24,102.64,739.15,,50.43,61.5,145.62,89.56,5.65,56.21,0.0,141.49,253.67,167.47,203.54,74.17,44.11,42.22,62.72,62.57,492.14,560.76,720.86,24.67,36.98,173.06,150.43,67.3,139.64,85.81,0.0,14.17,4.52,66.54,258.42
IPA,"Interpeduncular nucleus, apical",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, apical",,,34.63,79.04,218.01,300.71,8.68,370.58,167.57,549.96,,114.85,122.62,215.54,105.74,18.37,355.48,,129.39,523.66,244.06,165.22,57.08,47.13,91.92,401.55,53.98,439.92,99.06,259.04,28.54,74.22,14.88,195.43,176.03,140.11,153.09,72.79,32.91,0.0,40.01,281.7
IPL,"Interpeduncular nucleus, lateral",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, lateral",,,41.37,0.0,42.18,27.53,8.02,18.0,12.09,429.28,,0.0,42.94,45.05,71.58,19.7,76.42,0.0,156.97,29.12,48.86,19.89,3.18,9.88,20.55,120.92,53.92,518.77,466.49,800.72,9.53,6.52,86.91,169.61,169.22,231.76,91.36,4.35,86.66,43.2,41.43,272.36
IPI,"Interpeduncular nucleus, intermediate",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, intermediate",,,14.05,0.0,40.65,10.87,10.08,7.47,0.0,536.9,,102.5,0.0,54.49,31.94,36.13,37.98,0.0,87.44,171.87,67.8,148.17,6.52,30.45,6.02,42.59,66.89,324.48,299.52,844.64,6.87,28.76,111.62,98.67,81.97,196.95,100.04,8.46,34.97,31.98,52.4,150.68
IPDM,"Interpeduncular nucleus, dorsomedial",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, dorsomedial",,,31.68,0.0,186.5,101.79,6.96,181.46,252.48,151.78,,113.96,194.4,219.89,0.0,0.0,167.44,79.5,60.44,45.98,183.0,295.14,54.6,32.16,171.99,184.31,37.35,259.53,81.18,163.38,15.5,224.63,18.81,91.76,122.87,108.58,51.72,15.0,0.0,42.64,38.67,135.94
IPDL,"Interpeduncular nucleus, dorsolateral",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, dorsolateral",,,16.67,6.21,23.62,102.83,0.0,68.08,13.49,362.0,,96.23,38.08,200.19,8.75,7.13,125.92,54.77,9.86,47.14,38.97,74.07,0.0,0.0,21.65,91.79,8.16,76.67,105.04,93.83,25.0,57.04,15.84,36.11,108.69,171.6,19.88,0.0,4.9,3.99,14.67,58.31
IPRL,"Interpeduncular nucleus, rostrolateral",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, rostrolateral",,,0.0,0.0,154.42,93.06,37.07,102.49,43.3,0.0,,,33.27,281.53,30.97,261.05,114.48,162.18,47.11,18.17,20.42,102.01,0.0,10.55,218.81,262.43,15.06,0.0,41.31,269.12,9.98,8.51,95.99,0.0,0.0,51.44,9.75,52.73,25.68,138.17,23.75,29.13
RL,Rostral linear nucleus raphe,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Rostral linear nucleus raphe,,,,59.58,26.79,237.82,218.79,38.02,334.5,213.25,90.37,439.78,657.89,180.49,664.46,33.55,470.48,717.24,229.89,259.86,143.53,218.07,491.33,17.54,104.85,265.83,345.17,70.16,154.85,43.05,296.68,31.23,325.91,106.97,259.88,74.92,33.17,67.22,75.55,0.0,0.0,46.98,90.69
CLI,Central linear nucleus raphe,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Central linear nucleus raphe,,,,12.66,7.45,42.65,136.91,3.8,149.44,54.09,91.81,,187.2,35.89,299.46,12.95,85.88,147.45,72.16,16.27,19.99,90.97,43.69,8.17,39.53,54.65,66.42,29.85,28.95,30.77,35.55,3.4,66.37,33.68,60.21,59.76,3.28,13.71,15.73,127.35,0.0,26.32,15.06
