Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,mouse_id,density
LP,Lateral posterior nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Lateral posterior nucleus of the thalamus,,,1000,16.32
PO,Posterior complex of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Posterior complex of the thalamus,,,1000,11.11
POL,Posterior limiting nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Posterior limiting nucleus of the thalamus,,,1000,46.84
SGN,Suprageniculate nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Suprageniculate nucleus,,,1000,8.21
Eth,Ethmoid nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Ethmoid nucleus of the thalamus,,,1000,1.95
AV,Anteroventral nucleus of thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteroventral nucleus of thalamus,,,1000,6.62
AMd,"Anteromedial nucleus, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteromedial nucleus,"Anteromedial nucleus, dorsal part",,1000,17.41
AMv,"Anteromedial nucleus, ventral part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteromedial nucleus,"Anteromedial nucleus, ventral part",,1000,40.75
AD,Anterodorsal nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anterodorsal nucleus,,,1000,13.42
IAM,Interanteromedial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Interanteromedial nucleus of the thalamus,,,1000,49.35
